"Company","Job.Title","Location","Job.Type","Experience","Skill.1","Skill.2","Skill.3","Skill.4","Skill.5","Skill.6","Perk.1","Perk.2","Perk.3","ExperienceQualifications","ClassYearQualifications"
"Balbix","AI/ML Summer Intern","San Jose, CA","Internship","Entry-level","Data pipelines","Distributed Systems","Engineering","Linear algebra","Machine Learning","ML infrastructure","Career development","Flex vacation","Health care","at least one internship experience","freshman or sophomores"
"Unite Us","Internship: Data Science Intern","New York City","Internship","Entry-level","Computer Science","Mathematics","Pandas","Physics","Python","Research","Career development","","","no experience","juniors"
"Syngenta Group","Data Scientist Trainee (m/w/d)","Frankfurt am Main, Germany","Full Time","Entry-level","AWS","Big Data","Data Mining","Deep Learning","Machine Learning","NoSQL","","","","no experience","juniors"
"Dyno Therapeutics","Machine Learning Engineer Summer 2023 Internship","Watertown, MA","Internship","Entry-level","Biology","Computer Science","Engineering","Machine Learning","Mathematics","ML infrastructure","Startup environment","","","no experience","juniors"
"Burro","Machine Learning Internship","Philadelphia, PA","Internship","Entry-level","Computer Vision","CUDA","Deep Learning","Engineering","GPU","Machine Learning","","","","at least one internship experience","juniors"
"Publicis Groupe","Digital Data Analyst","Bogotá, Colombia","Full Time","Entry-level","Data Studio","Excel","Jira","Spark","","","","","","no experience","juniors"
"Shift Technology","Data Scientist (End-of-studies Internship)","France - Paris","Internship","Entry-level","Big Data","Chatbots","Computer Science","Engineering","Machine Learning","Mathematics","Career development","Competitive pay","Equity","no experience","freshman or sophomores"
"Outrider","Data Analyst Intern","Golden, Colorado","Internship","Entry-level","Athena","AWS","Computer Science","Data analysis","Data Analytics","Data visualization","","","","at least one internship experience","juniors"
"Guardant Health","Bioinformatics Intern, Machine Learning","Palo Alto, CA, United States","Full Time","Entry-level","AWS","Biology","Data analysis","Genetics","Git","GitHub","Career development","Health care","Salary bonus","at least two internship experiences","seniors"
"Bosch Group","AI/ML Graduate Intern with Focus on AI Engineering","Mount Prospect, IL, United States","Internship","Entry-level","AWS","Azure","Computer Science","Engineering","GCP","Industrial","","","","at least two internship experiences","seniors"
"Publicis Groupe","Summer Internship - Data Science / Advanced Analytics","Los Angeles, CA, United States","Part Time","Entry-level","Excel","R","","","","","Career development","","","at least two internship experiences","juniors"
"Fetch","Data Analytics Internship","Madison, WI","Internship","Entry-level","Data Analytics","Grafana","Python","SQL","Statistics","Tableau","Flex vacation","","","at least one internship experience","seniors"
"Vention","Computer vision Developer Intern","Montréal, QC, Canada","Internship","Entry-level","Computer Vision","Distributed Systems","GPU","JavaScript","Jupyter","Mathematics","Startup environment","","","at least one internship experience","juniors"
"Guardant Health","Machine Learning/Artificial Intelligence Intern","Palo Alto, CA, United States","Internship","Entry-level","Biology","Computer Science","HPC","Linux","Machine Learning","NLP","Career development","Equity","Health care","at least two internship experiences","freshman or sophomores"
"Bosch Group","Academic Internship - Deep Learning, Synthetic Data","Braga, Portugal","Internship","Entry-level","Autonomous Driving","Computer Science","Computer Vision","Deep Learning","Lidar","Machine Learning","Career development","Flex hours","","at least two internship experiences","freshman or sophomores"
"Bosch Group","Academic Internship - Deep Learning, Multi-Task","Braga, Portugal","Internship","Entry-level","Computer Science","Computer Vision","Deep Learning","Lidar","Machine Learning","Physics","Career development","Flex hours","","no experience","seniors"
"Western Digital","Phd -Interns, Data Scientist","Bengaluru, India","Full Time","Entry-level","Big Data","Computer Science","Data Analytics","Engineering","Machine Learning","PhD","","","","no experience","juniors"
"Guardant Health","Business Application Intern, Machine Learning","Palo Alto, CA, United States","Internship","Entry-level","Architecture","AWS","Computer Science","Engineering","Machine Learning","Privacy","Career development","Equity","Health care","at least one internship experience","juniors"
"Snyk","Data Analytics Intern","Boston","Internship","Entry-level","Computer Science","Data Analytics","Looker","Prototyping","Security","SQL","Career development","Flex hours","Flex vacation","at least one internship experience","freshman or sophomores"
"Publicis Groupe","Data Sciences Intern(Smart's)","Madrid, Spain","Part Time","Entry-level","Data analysis","Economics","Engineering","Mathematics",".NET","RDBMS","Startup environment","","","at least one internship experience","juniors"
"CGG","Internship – Machine Learning/MLOps Engineer (6 months)","Massy, France","Full Time","Entry-level","CI/CD","Computer Science","Engineering","HPC","Machine Learning","MLFlow","Career development","Startup environment","","at least two internship experiences","seniors"
"Western Digital","Intern, Data Engineering (Summer 2023)","San Jose, CA, United States","Internship","Entry-level","AWS","Big Data","Computer Science","Data analysis","Data Analytics","Data pipelines","Career development","Competitive pay","Equity","at least one internship experience","seniors"
"Bosch Group","Internship Embedded AI Engineering","Reutlingen, Germany","Full Time","Entry-level","Computer Science","Deep Learning","Engineering","Machine Learning","Mathematics","Physics","Career development","","","at least two internship experiences","freshman or sophomores"
"Rokt","Data Analyst Intern","New York City, United States","Internship","Entry-level","Agile","Big Data","Business Analytics","Computer Science","Data analysis","E-commerce","Career development","Equity","Home office stipend","at least one internship experience","juniors"
"Shippeo","Data Scientist - Internship","Paris, France","Internship","Entry-level","Classification","Machine Learning","ML models","NumPy","Pandas","Python","","","","no experience","freshman or sophomores"
"Vention","Computer vision Developer","Montréal, QC, Canada","Full Time","Entry-level","Computer Vision","Distributed Systems","GPU","JavaScript","Jupyter","Mathematics","Startup environment","","","no experience","seniors"
"CleverConnect","Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Entry-level","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","Career development","Yoga","","at least one internship experience","seniors"
"Abarca Health","Intern, Data Engineer","Remote","Internship","Entry-level","Business Intelligence","Computer Science","ELT","Engineering","Healthcare technology","Snowflake","Flex hours","Health care","","at least two internship experiences","juniors"
"Frazer-Nash Consultancy","Data Science and Systems Engineers - Summer Intern 2023","UK, Great Britain, United Kingdom","Internship","Entry-level","Agile","Computer Science","Consulting","Engineering","Excel","Mathematics","Career development","Competitive pay","Flex hours","at least two internship experiences","freshman or sophomores"
"Plume Labs","AI Engineer Internship","Paris, Île-de-France, France - Remote","Internship","Entry-level","Agile","APIs","Deep Learning","Keras","Machine Learning","NumPy","Career development","Flex hours","Startup environment","no experience","juniors"
"Lyft","Canada - Early Talent - Supply Chain Data Analyst Intern (Summer 2023)","Montreal, Canada","Internship","Entry-level","Business Analytics","Data analysis","Excel","Jira","Power BI","SQL","Health care","","","no experience","freshman or sophomores"
"Metropolis","Machine Learning Engineer Intern","Seattle, WA or Santa Monica, CA","Internship","Entry-level","Architecture","Computer Vision","CUDA","cuDNN","Deep Learning","DenseNet","Startup environment","","","at least two internship experiences","freshman or sophomores"
"BenevolentAI","AI Scientist Internship","London, England, United Kingdom","Internship","Entry-level","Architecture","Biology","Chemistry","Computer Science","Deep Learning","Drug discovery","Career development","Health care","","no experience","seniors"
"Netcetera","Spring Internship Program - Machine Learning Engineer (Skopje, Bitola, Ohrid)","Skopje, Greater Skopje, North Macedonia","Internship","Entry-level","Computer Science","Computer Vision","Deep Learning","Machine Learning","NLP","NumPy","Career development","Conferences","Flex hours","at least two internship experiences","juniors"
"Ubisoft","Stagiaire Data Analyst (F/H/NB)","Bordeaux, France","Full Time","Entry-level","Airflow","ETL","Git","Hadoop","PySpark","Python","","","","at least one internship experience","seniors"
"Etsy","Data Science Intern","Brooklyn, NY, United States","Full Time","Entry-level","Computer Vision","Data Mining","Deep Learning","Diffusion models","E-commerce","ICLR","Career development","Conferences","Equity","no experience","freshman or sophomores"
"BenevolentAI","Bioinformatics Data Scientist Internship","London, England, United Kingdom","Internship","Entry-level","Biology","Causal inference","Data Analytics","Data pipelines","Drug discovery","Engineering","Career development","","","no experience","seniors"
"Vitol","Data Science Intern","London, United Kingdom","Full Time","Entry-level","APIs","Architecture","Data analysis","Power BI","Python","SQL","","","","at least one internship experience","seniors"
"BenevolentAI","Data Scientist Internship","London, England, United Kingdom","Internship","Entry-level","Biology","Data analysis","Data quality","Drug discovery","Jupyter","Machine Learning","Career development","","","at least one internship experience","seniors"
"Trust Lab","Data Science Intern | Greece","Remotely","Internship","Entry-level","Computer Science","Data analysis","Data Analytics","Data Studio","Engineering","Machine Learning","Career development","Competitive pay","Equity","at least two internship experiences","seniors"
"Spotify","Summer Internship, Data Scientist | Content Business (US)","New York City","Internship","Entry-level","Computer Science","Economics","Machine Learning","Mathematics","ML models","PhD","Career development","","","at least two internship experiences","freshman or sophomores"
"Sia Partners","Stage de fin d'études - Consultant(e) Data Management","Paris, France","Full Time","Entry-level","APIs","Architecture","AWS","Azure","Big Data","Business Intelligence","","","","no experience","juniors"
"FarmWise","Machine Learning Intern","Paris, France (Hybrid)","Internship","Entry-level","AWS","Computer Vision","Deep Learning","GCP","Git","GPU","","","","no experience","seniors"
"Spotify","Summer Internship, Machine Learning Engineer Intern | Platform Mission (US)","New York City","Internship","Entry-level","A/B testing","Agile","Cassandra","Classification","Data quality","Flink","Career development","Home office stipend","","at least one internship experience","freshman or sophomores"
"AccuWeather","Data Developer Intern","Remote or State College, PA","Internship","Entry-level","DataOps","","","","","","","","","at least one internship experience","juniors"
"Strava","Machine Learning Engineering Intern","Remote (USA)","Internship","Entry-level","Computer Science","Data Mining","Data pipelines","Deep Learning","Engineering","Hadoop","Career development","Health care","Team events","at least one internship experience","seniors"
"GRESB","Climate Data Analyst - Intern (Asset Impact) | Paris or Berlin","Paris, Île-de-France, France","Internship","Entry-level","Data analysis","Excel","Finance","Python","R","RDBMS","Career development","","","at least one internship experience","seniors"
"Roblox","Data Science Intern - Causal Inference with Network Interference (Summer 2023)","San Mateo, CA, United States","Internship","Entry-level","Airflow","Big Data","Causal inference","Computer Science","Economics","Engineering","Career development","Equity","Flex hours","no experience","juniors"
"Trigo","STAGE - Data Analyst POWER BI - H/F","Nanterre, France","Full Time","Entry-level","Excel","Power BI","Robotics","RPA","SharePoint","","","","","at least two internship experiences","freshman or sophomores"
"Santen","Data Science Intern","Emeryville, CA, United States","Full Time","Entry-level","Data analysis","R","SAS","Statistics","","","Flex hours","Startup environment","Team events","at least one internship experience","juniors"
"Spotify","Summer Internship, Analytics Engineer | Content Business (US)","New York City","Internship","Entry-level","APIs","BigQuery","Computer Science","Engineering","ETL","PhD","Home office stipend","Startup environment","","at least one internship experience","freshman or sophomores"
"Spotlab","Artificial Intelligence Research Internship","Madrid, Spain","Internship","Entry-level","Caffe","Computer Science","Computer Vision","Deep Learning","Engineering","Keras","Career development","Health care","Startup environment","at least one internship experience","freshman or sophomores"
"Fetch","Data Analytics Internship","Birmingham, AL","Internship","Entry-level","Data Analytics","Grafana","Python","SQL","Statistics","Tableau","Flex vacation","","","at least one internship experience","seniors"
"Sayari","Data Engineer Intern","United States - Remote","Internship","Entry-level","Airflow","AWS","Azure","Engineering","ETL","GCP","401(k) matching","Career development","Competitive pay","no experience","seniors"
"Spot AI","Data Analytics Engineer (Intern)","Hayward, California, United States","Internship","Entry-level","APIs","AWS","BigQuery","Computer Science","Data Analytics","Databricks","Career development","","","at least one internship experience","juniors"
"Gameloft","Data Analyst Intern - Summer 2023","Toronto, ON, Canada","Internship","Entry-level","Computer Science","Data visualization","Mathematics","SQL","Statistics","","Career development","Flex hours","Flex vacation","no experience","freshman or sophomores"
"Spotify","Summer Internship, Product Management | Data Management (US)","New York City","Internship","Entry-level","Agile","Big Data","Computer Science","Data management","Economics","Engineering","Home office stipend","","","no experience","juniors"
"Bosch Group","Intern | Machine Learning (Generative AI)","Singapore, Singapore","Internship","Entry-level","Computer Science","Data analysis","Deep Learning","EDA","Engineering","Feature engineering","Career development","","","no experience","juniors"
"Gojek","Data Science Intern - Payments","Singapore","Internship","Entry-level","Caffe","Computer Vision","Deep Learning","Engineering","Keras","Machine Learning","Team events","","","no experience","freshman or sophomores"
"Agot AI","Deep Learning Infrastructure Intern (Summer, Full-Time)","Pittsburgh, PA","Internship","Entry-level","AWS","Computer Science","Computer Vision","Deep Learning","DevOps","Docker","Career development","Flex hours","Startup environment","at least two internship experiences","freshman or sophomores"
"Bosch Group","Embedded Machine Learning Intern for Sensors and Edge Devices","Sunnyvale, CA, United States","Internship","Entry-level","ASIC Design","Classification","Computer Science","Data Mining","Engineering","Linux","","","","at least two internship experiences","juniors"
"Bugcrowd","Data Science Intern","United States","Internship","Entry-level","A/B testing","Data analysis","EDA","Engineering","Git","GitHub","","","","at least two internship experiences","seniors"
"Believe","Data Analyst - Internship (H/F)","Paris, France","Internship","Entry-level","Power BI","","","","","","Career development","","","no experience","freshman or sophomores"
"Snowflake Inc.","Data Engineer Intern","Dublin, CA, USA","Internship","Entry-level","Computer Science","Data pipelines","Data warehouse","Distributed Systems","Engineering","Excel","Flex hours","Startup environment","Team events","at least two internship experiences","juniors"
"Mendix","Data Quality Management Internship","Rotterdam","Internship","Entry-level","AWS","Computer Science","Data quality","Engineering","Power BI","Privacy","Transparency","","","at least one internship experience","freshman or sophomores"
"Smartsheet","Product Design Intern, Data Integrations","-REMOTE, UK-","Internship","Entry-level","Agile","Engineering","Privacy","Prototyping","Research","UX","Career development","","","at least two internship experiences","seniors"
"CleverConnect","Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Entry-level","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","Career development","Yoga","","no experience","freshman or sophomores"
"CleverConnect","Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Entry-level","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","Career development","Yoga","","no experience","freshman or sophomores"
"Bosch Group","Intern, Robot Research Engineer","Singapore, Singapore","Internship","Entry-level","Computer Science","Engineering","Industrial","Machine Learning","Python","Research","Career development","","","no experience","seniors"
"Amazon.com","Amazon Robotics - Applied Scientist Intern/Co-op - 2023","Westborough, Massachusetts, USA","Full Time","Entry-level","Computer Science","Computer Vision","Engineering","Machine Learning","Mathematics","PhD","","","","at least two internship experiences","seniors"
"Spotify","Summer Internship, Data Science | Music Mission (US)","New York City","Internship","Entry-level","A/B testing","Airflow","Biology","Computer Science","Data pipelines","Data visualization","Home office stipend","","","at least one internship experience","seniors"
"Verisk","Data Science Intern - 2023 Summer Internship Program - CR","Kraków, Poland","Part Time","Entry-level","Bayesian","Business Analytics","Classification","Data analysis","Engineering","Finance","Career development","Equity","Insurance","no experience","seniors"
"Relativity","Machine Learning Operations Intern - Summer 2023","Remote United States","Internship","Entry-level","AWS","Azure","Computer Science","Databricks","GCP","Linux","Career development","Flex hours","Flex vacation","no experience","seniors"
"HRL Laboratories","Doctorate Intern in Machine Learning and Reasoning","Calabasas, CA","Internship","Entry-level","Deep Learning","Machine intelligence","Machine Learning","Privacy","Python","PyTorch","401(k) matching","Career development","Competitive pay","at least two internship experiences","juniors"
"Dyania Health","NLP Applied Science Internship","Jersey City, New Jersey, United States","Internship","Entry-level","Computer Science","Engineering","HuggingFace","Machine Learning","Mathematics","NLP","Conferences","Flex hours","","at least two internship experiences","juniors"
"CleverConnect","Data Engineer - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Entry-level","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","Career development","Yoga","","no experience","seniors"
"Wisk Aero","Autonomy Engineering Summer Intern","Mountain View, CA","Internship","Entry-level","C++","Computer Science","Computer Vision","Engineering","Genetics","Matlab","401(k) matching","Career development","Competitive pay","no experience","seniors"
"METRO/MAKRO","Internship - Data Analytics with SQL","București, Romania","Full Time","Entry-level","Cybernetics","Data Analytics","Engineering","Excel","SQL","Statistics","Career development","Flex hours","Startup environment","at least one internship experience","seniors"
"Freenome","Machine Learning Research Engineering Intern (Remote)","South San Francisco, California","Internship","Entry-level","Biology","Computer Science","Engineering","GPU","Machine Learning","Model training","Career development","Conferences","Medical leave","at least one internship experience","juniors"
"Etsy","Data Science Intern","Brooklyn, NY, United States","Full Time","Entry-level","Computer Vision","Data Mining","Deep Learning","Diffusion models","E-commerce","ICLR","Career development","Conferences","Equity","at least one internship experience","juniors"
"Schrödinger","Life Science Data Engineer Intern","New York","Internship","Entry-level","APIs","Architecture","Biology","Chemistry","CI/CD","Computer Science","Career development","Lunch / meals","Startup environment","at least two internship experiences","juniors"
"Publicis Groupe","Data Analyst - Internship","Milano, Italy","Full Time","Entry-level","Business Intelligence","Computer Science","Consulting","Mathematics","Statistics","","Flex hours","Wellness","","at least one internship experience","freshman or sophomores"
"Believe","Junior Data Analyst - Stage (H/F)","Paris, France","Full Time","Entry-level","Business Intelligence","Excel","Power BI","Python","Streaming","Tableau","Transparency","","","at least one internship experience","freshman or sophomores"
"Vitol","Data Science Intern","London, United Kingdom","Full Time","Entry-level","APIs","Architecture","Data analysis","Power BI","Python","SQL","","","","at least two internship experiences","freshman or sophomores"
"Adarga","Data Science Summer Internship Programme 2023","London, United Kingdom","Internship","Entry-level","Deep Learning","Engineering","Machine Learning","NLP","Privacy","Research","Flex hours","","","at least one internship experience","freshman or sophomores"
"Bosch Group","Intern, AI Engineer for HVAC","Singapore, Singapore","Internship","Entry-level","Computer Science","Engineering","Industrial","NumPy","OpenAI","Pandas","Career development","","","at least two internship experiences","juniors"
"Adarga","Data Science Intern 2023","London, United Kingdom","Internship","Entry-level","Deep Learning","Engineering","Machine Learning","NLP","Privacy","Research","Flex hours","","","at least two internship experiences","juniors"
"Deloitte","Data Management Unit Intern","Nakuru, Kenya","Internship","Entry-level","Consulting","Data analysis","Data management","Data quality","Data visualization","Excel","Career development","Startup environment","Team events","at least two internship experiences","freshman or sophomores"
"CloudSEK","Machine Learning Intern","Bengaluru, Karnataka, India","Internship","Entry-level","BERT","Elasticsearch","GPT","Keras","Machine Learning","ML models","Career development","Competitive pay","Flex hours","no experience","juniors"
"Nuro, Inc.","Applied Research, Machine Learning - PhD Summer Intern","Mountain View, California (HQ)","Internship","Entry-level","Autonomous Driving","Computer Science","Deep Learning","Generative modeling","ICLR","ICML","Career development","Conferences","","no experience","freshman or sophomores"
"Spotify","Summer Internship, Research Scientist, Audio Intelligence | Music Mission (EMEA or US)","Berlin","Internship","Entry-level","Computer Science","Engineering","GitHub","Machine Learning","Mathematics","NumPy","","","","at least one internship experience","freshman or sophomores"
"Bosch Group","Internship: Deep Learning based Lane and Road Edge Detection","Leonberg, Germany","Full Time","Entry-level","Agile","Computer Science","Computer Vision","Deep Learning","Engineering","Python","Flex hours","","","no experience","juniors"
