"gender","grad_year","transfer","major","minor","returning_member","intern_job_count","Java","Python","R","SQL","C.C..","JavaScript.TypeScript","Languages","NumPy","Pandas","SciPy","Scikit.learn","PyTorch","Tensorflow","Math.4A","CS.9","Calculus.Math.3A.Math.3B.AP.Calc","Math.6A","Math.8.PSTAT.8.CS.40","PSTAT.10","PSTAT.120A","PSTAT.120B","PSTAT.126","PSTAT.160A.160B","Math.117","PSTAT.131","Math.108A","CS.165A.165B","PSTAT.135","Career.fair","Professional.workshops","Technical.workshops","Company.talks...Data.talks","Social.events","Project.groups","Events","Career.Goal","Tableau","Power.BI","Matplotlib","SAS","Looking_for_internship","Looking_for_full_time","internship_or_full_time","Prefer.Remote","Top.desired.location","Top.desired.state","Industry.Preferences","Number.of.completed.data.science.projects","Data_Science_Technologies","research_job_count","Data.Science.Skills","Merged_Languages","Courses","Packages","ID"
"Female",2026,"No","Statistics & Data Science","","Yes",1,"Yes","Yes","Yes","Yes","Yes","Yes","Java, Python, R, SQL, C.C..","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","Yes","No","No","Yes","No","internship","In person","United States","Michigan","Tech",3,"Apache Kafka, Airflow, AWS (Amazon Web Services), SAS, SPSS, D3.js, Hive",4,"Machine Learning, Deep Learning, Natural Language Processing","Java, Python, R, SQL, C.C..","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126","NumPy, Pandas, SciPy, Scikit.learn, PyTorch",76
"Female",2026,"No","Statistics & Data Science","","Yes",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Engineer","Yes","Yes","Yes","Yes","Yes","No","internship","In person","United States","Michigan","Tech",6,"Tableau, Spark, RapidMiner, Snowflake",2,"Deep Learning","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, Math.117","NumPy, Pandas, Scikit.learn",77
"Male",2026,"No","Statistics & Data Science","","Yes",2,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Project.groups","Data Engineer","Yes","No","Yes","Yes","Yes","No","internship","No preference","United States","Texas","Tech",4,"Power BI, Hadoop, AWS (Amazon Web Services), SPSS, Jupyter Notebook, D3.js, Alteryx, Hive",4,"Machine Learning","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.120A, PSTAT.120B","NumPy, Pandas, PyTorch",78
"Male",2026,"No","Statistics & Data Science","","Yes",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","No","No","Career.fair, Technical.workshops, Company.talks...Data.talks","Data Analyst","No","No","Yes","Yes","Yes","No","internship","Remote","United States","Texas","Tech",2,"Power BI, Excel, SAS, RapidMiner, Alteryx",3,"Machine Learning, Deep Learning, Natural Language Processing, Data Wrangling","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B","",79
"Male",2026,"No","Mathematics/Applied Mathematics, Statistics & Data Science","","No",0,"Yes","Yes","Yes","Yes","No","Yes","Java, Python, R, SQL","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Career.fair, Professional.workshops, Technical.workshops","Data Analyst","No","Yes","Yes","Yes","Yes","No","internship","Remote","Germany","","Tech",0,"Power BI, Spark, Apache Kafka, GCP (Google Cloud Platform), Azure",4,"Data Wrangling","Java, Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, Math.117, Math.108A","NumPy",80
"Female",2026,"No","Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Social.events, Project.groups","Data Scientist","Yes","No","Yes","No","Yes","No","internship","Remote","United States","Illinois","Tech",1,"Power BI, Excel, Apache Kafka, Airflow, AWS (Amazon Web Services), Azure, Databricks, Jupyter Notebook, RapidMiner, BigQuery, Snowflake",1,"Predictive Analytics, Data Wrangling","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","",81
"Male",2026,"Yes","Statistics & Data Science","","No",0,"Yes","No","No","No","Yes","No","Java, C.C..","No","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","No","Yes","No","Yes","No","internship","Remote","United States","Georgia","Retail",0,"Tableau, Hadoop, Databricks, Alteryx",4,"Data Wrangling","Java, C.C..","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, PSTAT.10","",82
"Female",2026,"No","Statistics & Data Science","No","Yes",0,"No","Yes","Yes","No","No","No","Python, R","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Project.groups","Data Analyst","Yes","Yes","No","Yes","Yes","No","internship","Remote","United States","Pennsylvania","Healthcare",0,"Databricks, BigQuery",4,"Data Wrangling","Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","PyTorch",83
"Male",2026,"Yes","Statistics & Data Science","","No",0,"Yes","Yes","Yes","No","Yes","No","Java, Python, R, C.C..","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","Yes","Yes","No","Yes","No","internship","Remote","Germany","","Tech",4,"Hadoop, Apache Kafka, SPSS, BigQuery, Snowflake",4,"Data Visualization, Natural Language Processing, Predictive Analytics","Java, Python, R, C.C..","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10","NumPy, Pandas",84
"Male",2026,"Yes","Statistics & Data Science","","No",0,"No","No","Yes","No","Yes","No","R, C.C..","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","No","No","No","Yes","No","internship","In person","United States","Texas","Tech",7,"Hadoop, Airflow, Databricks, Jupyter Notebook, D3.js, Alteryx, BigQuery, Hive",4,"Machine Learning, Natural Language Processing","R, C.C..","Calculus.Math.3A.Math.3B.AP.Calc, PSTAT.10","",85
"Female",2026,"No","Statistics & Data Science","Earth Science ","Yes",2,"Yes","Yes","Yes","Yes","Yes","No","Java, Python, R, SQL, C.C..","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","No","No","No","Yes","No","internship","In person","United States","Florida","Tech",6,"Apache Kafka, GCP (Google Cloud Platform), Azure, Jupyter Notebook, BigQuery, Hive, Snowflake",3,"Data Visualization, Deep Learning","Java, Python, R, SQL, C.C..","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B","NumPy, Pandas",86
"Male",2026,"Yes","Statistics & Data Science","","No",0,"Yes","Yes","Yes","Yes","Yes","No","Java, Python, R, SQL, C.C..","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","No","No","Yes","No","Yes","No","internship","No preference","United States","New York","Tech",1,"Tableau, Azure, Databricks, SPSS, D3.js, RapidMiner, Snowflake",0,"Predictive Analytics","Java, Python, R, SQL, C.C..","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","Pandas",87
"Male",2026,"Yes","Statistics & Data Science","","No",2,"No","Yes","No","Yes","No","No","Python, SQL","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Career.fair, Professional.workshops, Social.events, Project.groups","Data Engineer","No","No","Yes","Yes","Yes","No","internship","Remote","Canada","","Manufacturing",2,"Power BI, Excel, Hadoop, AWS (Amazon Web Services), SPSS, Jupyter Notebook",0,"Data Visualization, Machine Learning, Deep Learning, Data Wrangling","Python, SQL, SAS","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, PSTAT.10, PSTAT.120A","NumPy, Pandas",88
"Male",2026,"Yes","Statistics & Data Science","Psychology and Brain Sciences ","No",0,"No","Yes","No","No","No","No","Python","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","Yes","Yes","No","Yes","No","internship","In person","United States","New York","Tech",6,"Power BI, SAS, SPSS",0,"Deep Learning, Data Wrangling","Python","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, PSTAT.10","NumPy, Pandas",89
"Male",2026,"No","Statistics & Data Science","","No",0,"Yes","Yes","Yes","Yes","Yes","No","Java, Python, R, SQL, C.C..","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Social.events, Project.groups","Data Scientist","Yes","Yes","No","Yes","Yes","No","internship","Remote","United States","Michigan","Tech",1,"Tableau, Airflow, Azure, SPSS",3,"Machine Learning, Deep Learning, Data Wrangling","Java, Python, R, SQL, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, Math.108A","NumPy, Pandas",90
"Female",2026,"No","Statistics & Data Science","","Yes",1,"No","Yes","Yes","No","No","No","Python, R","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Analyst","No","Yes","Yes","No","Yes","No","internship","Remote","United States","Florida","Tech",4,"Hadoop, Azure, BigQuery",2,"Data Visualization, Natural Language Processing, Predictive Analytics, Data Wrangling","Python, R","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B","",91
"Male",2026,"Yes","Statistics & Data Science","","No",2,"No","Yes","No","No","No","No","Python","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","No","No","Yes","Yes","No","internship","No preference","Australia","","Tech",5,"SAS, D3.js, Alteryx",2,"Machine Learning, Deep Learning, Predictive Analytics","Python, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc","NumPy, Pandas, Scikit.learn",92
"Male",2026,"No","Statistics & Data Science","Applied Psychology","No",0,"No","Yes","Yes","Yes","Yes","No","Python, R, SQL, C.C..","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","No","No","Yes","Yes","No","internship","In person","Germany","","Tech",6,"Spark, GCP (Google Cloud Platform), Databricks, D3.js",2,"Machine Learning","Python, R, SQL, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126","NumPy",93
"Female",2026,"Yes","Statistics & Data Science","","No",0,"No","No","Yes","No","Yes","No","R, C.C..","No","No","No","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","No","Yes","No","Yes","No","internship","Remote","United States","Ohio","Education",4,"Tableau, Power BI, Hadoop, Airflow, AWS (Amazon Web Services), GCP (Google Cloud Platform), Azure, Databricks, SPSS, RapidMiner",4,"Deep Learning","R, C.C..","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, PSTAT.10","",94
"Male",2027,"No","Computer Science/Computer Engineering","","No",0,"Yes","Yes","No","Yes","Yes","Yes","Java, Python, SQL, C.C..","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events","Data Scientist","Yes","No","No","Yes","Yes","No","internship","In person","United States","Ohio","Tech",6,"Tableau, Power BI, Airflow, AWS (Amazon Web Services), SAS, RapidMiner",2,"Data Visualization, Deep Learning, Predictive Analytics","Java, Python, SQL, C.C.., SAS","","Pandas",95
"Male",2027,"No","Statistics & Data Science","","No",0,"No","Yes","No","No","Yes","No","Python, C.C..","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","No","No","Yes","No","Yes","No","internship","Remote","United States","Georgia","Tech",4,"Airflow",3,"","Python, C.C..","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40","NumPy, Pandas, SciPy, Scikit.learn",96
"Male",2027,"No","Computer Science/Computer Engineering","","Yes",2,"Yes","Yes","No","No","Yes","Yes","Java, Python, C.C..","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","No","Yes","Yes","Yes","No","internship","Remote","United States","California","Tech",4,"Power BI, Excel, Hadoop, Airflow, RapidMiner, Hive, Snowflake",3,"Machine Learning","Java, Python, C.C.., SAS","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, PSTAT.120A","Pandas, Scikit.learn, PyTorch",97
"Male",2027,"No","Statistics & Data Science","","Yes",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","Yes","Yes","Yes","Yes","No","internship","In person","United States","New York","Tech",2,"Airflow, Azure, SPSS, Alteryx, BigQuery",4,"Machine Learning, Deep Learning","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, PSTAT.10","Pandas",98
"Female",2027,"No","Financial Math & Statistics","","No",1,"Yes","Yes","Yes","Yes","No","No","Java, Python, R, SQL","No","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","No","Yes","Yes","No","Yes","No","internship","In person","Canada","","Tech",4,"Spark, Airflow, Databricks, SPSS, Jupyter Notebook, BigQuery",2,"Data Visualization, Machine Learning, Deep Learning, Data Wrangling","Java, Python, R, SQL","CS.9, Math.6A, PSTAT.10","",99
"Male",2027,"No","Statistics & Data Science","","Yes",0,"No","Yes","Yes","Yes","Yes","No","Python, R, SQL, C.C..","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","Professional.workshops, Technical.workshops, Project.groups","Data Scientist","No","No","Yes","Yes","Yes","No","internship","No preference","United States","Texas","Tech",7,"Power BI, Excel, AWS (Amazon Web Services), D3.js, Alteryx, Snowflake",2,"Deep Learning, Natural Language Processing, Data Wrangling","Python, R, SQL, C.C.., SAS","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, Math.117","NumPy, Pandas, PyTorch, Tensorflow",100
"Female",2027,"No","Statistics & Data Science","Linguistics, Speech and Language Technologies emphasis (intended)","Yes",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","No","Yes","Yes","No","Yes","No","internship","In person","United States","Ohio","Manufacturing",6,"Azure, Databricks, BigQuery",4,"Deep Learning, Predictive Analytics","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, PSTAT.10","NumPy, Pandas, Scikit.learn",101
"Female",2027,"No","Statistics & Data Science","","Yes",0,"Yes","Yes","Yes","Yes","Yes","Yes","Java, Python, R, SQL, C.C..","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes","Career.fair, Professional.workshops, Company.talks...Data.talks, Project.groups","Data Engineer","No","No","Yes","Yes","Yes","No","internship","Remote","United States","California","Tech",7,"Hadoop, Spark, Jupyter Notebook, Alteryx, BigQuery, Hive",1,"Machine Learning, Natural Language Processing","Java, Python, R, SQL, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, PSTAT.10","NumPy, Pandas",102
"Male",2027,"No","Statistics & Data Science","","Yes",0,"Yes","Yes","Yes","Yes","No","Yes","Java, Python, R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","Yes","No","No","Yes","No","internship","Remote","United States","North Carolina","Tech",5,"Tableau, Excel, Databricks, SAS, D3.js",4,"Data Visualization","Java, Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, PSTAT.10","",103
"Female",2027,"No","Statistics & Data Science","","Yes",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Engineer","No","Yes","Yes","No","Yes","No","internship","Remote","Germany","","Tech",1,"Tableau, Apache Kafka, GCP (Google Cloud Platform), D3.js, Alteryx",4,"Data Visualization","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","",104
"Male",2027,"No","Statistics & Data Science","","Yes",0,"Yes","Yes","Yes","Yes","Yes","Yes","Java, Python, R, SQL, C.C..","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","Technical.workshops, Project.groups","Data Analyst","No","No","No","Yes","Yes","No","internship","In person","United Kingdom","","Manufacturing",4,"Excel, Spark, Apache Kafka, GCP (Google Cloud Platform), SPSS, D3.js, Alteryx, BigQuery, Snowflake",3,"Machine Learning","Java, Python, R, SQL, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, Math.117, Math.108A","NumPy, Pandas, PyTorch, Tensorflow",105
"Male",2027,"No","Statistics & Data Science","Music","Yes",0,"Yes","Yes","No","No","No","No","Java, Python","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","No","No","Yes","Yes","No","internship","Remote","United States","North Carolina","Tech",7,"Excel, GCP (Google Cloud Platform), Databricks, Alteryx, Hive, Snowflake",1,"Machine Learning, Predictive Analytics","Java, Python, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc","NumPy",106
"Male",2027,"No","Mathematics/Applied Mathematics, Statistics & Data Science","","Yes",1,"Yes","Yes","Yes","No","Yes","Yes","Java, Python, R, C.C..","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","Yes","Career.fair, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Engineer","Yes","Yes","No","No","Yes","No","internship","In person","United Kingdom","","Tech",1,"Tableau, Power BI, AWS (Amazon Web Services), GCP (Google Cloud Platform), Databricks, SPSS, D3.js, Alteryx, BigQuery, Snowflake",0,"Data Visualization, Natural Language Processing","Java, Python, R, C.C..","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, Math.117","NumPy, Pandas, Tensorflow",107
"Female",2027,"No","Economics/Economics & Accounting","","No",1,"No","Yes","Yes","No","No","No","Python, R","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events","Data Analyst","No","Yes","No","No","Yes","No","internship","No preference","Australia","","Tech",5,"Excel, Spark, GCP (Google Cloud Platform), Snowflake",0,"Data Visualization, Deep Learning","Python, R","Calculus.Math.3A.Math.3B.AP.Calc","NumPy, Pandas",108
"Female",2027,"No","Statistics & Data Science","","No",0,"Yes","Yes","Yes","Yes","No","Yes","Java, Python, R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","No","Yes","Yes","Yes","No","internship","In person","United States","North Carolina","Tech",1,"Power BI, Spark, Apache Kafka, Airflow, AWS (Amazon Web Services), Jupyter Notebook, BigQuery, Snowflake",0,"Data Visualization","Java, Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, PSTAT.10","",109
"Female",2027,"No","Financial Math & Statistics, Biopsychology","","No",2,"Yes","Yes","No","No","No","No","Java, Python","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks","Data Analyst","Yes","Yes","Yes","Yes","Yes","No","internship","Remote","United States","Illinois","Tech",0,"Power BI, Apache Kafka, AWS (Amazon Web Services), SAS, SPSS, D3.js, RapidMiner",2,"Natural Language Processing","Java, Python, SAS","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.120A","PyTorch",110
"Male",2027,"No","Statistics & Data Science","","No",0,"Yes","Yes","Yes","Yes","No","No","Java, Python, R, SQL","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Engineer","Yes","No","Yes","Yes","Yes","No","internship","No preference","United States","Texas","Finance",2,"Hadoop, Spark, Azure, Databricks, RapidMiner",3,"Machine Learning, Natural Language Processing, Data Wrangling","Java, Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","Pandas",111
"Female",2027,"No","Statistics & Data Science","","No",0,"No","Yes","No","No","No","No","Python","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Scientist","No","Yes","Yes","Yes","Yes","No","internship","In person","United States","North Carolina","Tech",0,"Spark, Apache Kafka, D3.js, RapidMiner, Hive",3,"Natural Language Processing, Data Wrangling","Python, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.120A","",112
"Female",2027,"No","Statistics & Data Science","","No",1,"No","Yes","Yes","No","No","No","Python, R","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","No","Yes","Yes","Yes","No","internship","In person","United States","New York","Tech",4,"D3.js, Alteryx",1,"Machine Learning, Deep Learning","Python, R, SAS","CS.9, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10","",113
