"Company","Job.Title","Location","Job.Type","Skill.1","Skill.2","Skill.3","Skill.4","Skill.5","Skill.6","ExperienceQualifications","ClassYearQualifications"
"Frazer-Nash Consultancy","Data Science and Systems Engineers - Summer Intern 2023","UK, Great Britain, United Kingdom","Internship","Agile","Computer Science","Consulting","Engineering","Excel","Mathematics","at least one internship experience","freshman or sophomores"
"Plume Labs","AI Engineer Internship","Paris, Île-de-France, France - Remote","Internship","Agile","APIs","Deep Learning","Keras","Machine Learning","NumPy","at least one internship experience","seniors"
"Lyft","Canada - Early Talent - Supply Chain Data Analyst Intern (Summer 2023)","Montreal, Canada","Internship","Business Analytics","Data analysis","Excel","Jira","Power BI","SQL","at least one internship experience","seniors"
"Metropolis","Machine Learning Engineer Intern","Seattle, WA or Santa Monica, CA","Internship","Architecture","Computer Vision","CUDA","cuDNN","Deep Learning","DenseNet","no experience","juniors"
"BenevolentAI","AI Scientist Internship","London, England, United Kingdom","Internship","Architecture","Biology","Chemistry","Computer Science","Deep Learning","Drug discovery","at least one internship experience","seniors"
"Netcetera","Spring Internship Program - Machine Learning Engineer (Skopje, Bitola, Ohrid)","Skopje, Greater Skopje, North Macedonia","Internship","Computer Science","Computer Vision","Deep Learning","Machine Learning","NLP","NumPy","at least one internship experience","freshman or sophomores"
"Ubisoft","Stagiaire Data Analyst (F/H/NB)","Bordeaux, France","Full Time","Airflow","ETL","Git","Hadoop","PySpark","Python","at least two internship experiences","seniors"
"Etsy","Data Science Intern","Brooklyn, NY, United States","Full Time","Computer Vision","Data Mining","Deep Learning","Diffusion models","E-commerce","ICLR","at least one internship experience","juniors"
"BenevolentAI","Bioinformatics Data Scientist Internship","London, England, United Kingdom","Internship","Biology","Causal inference","Data Analytics","Data pipelines","Drug discovery","Engineering","at least one internship experience","freshman or sophomores"
"Vitol","Data Science Intern","London, United Kingdom","Full Time","APIs","Architecture","Data analysis","Power BI","Python","SQL","at least one internship experience","juniors"
"BenevolentAI","Data Scientist Internship","London, England, United Kingdom","Internship","Biology","Data analysis","Data quality","Drug discovery","Jupyter","Machine Learning","at least two internship experiences","freshman or sophomores"
"Trust Lab","Data Science Intern | Greece","Remotely","Internship","Computer Science","Data analysis","Data Analytics","Data Studio","Engineering","Machine Learning","at least two internship experiences","juniors"
"Spotify","Summer Internship, Data Scientist | Content Business (US)","New York City","Internship","Computer Science","Economics","Machine Learning","Mathematics","ML models","PhD","at least one internship experience","freshman or sophomores"
"Sia Partners","Stage de fin d'études - Consultant(e) Data Management","Paris, France","Full Time","APIs","Architecture","AWS","Azure","Big Data","Business Intelligence","at least two internship experiences","juniors"
"FarmWise","Machine Learning Intern","Paris, France (Hybrid)","Internship","AWS","Computer Vision","Deep Learning","GCP","Git","GPU","no experience","juniors"
"Spotify","Summer Internship, Machine Learning Engineer Intern | Platform Mission (US)","New York City","Internship","A/B testing","Agile","Cassandra","Classification","Data quality","Flink","at least two internship experiences","freshman or sophomores"
"AccuWeather","Data Developer Intern","Remote or State College, PA","Internship","DataOps","","","","","","at least two internship experiences","juniors"
"Strava","Machine Learning Engineering Intern","Remote (USA)","Internship","Computer Science","Data Mining","Data pipelines","Deep Learning","Engineering","Hadoop","at least one internship experience","juniors"
"GRESB","Climate Data Analyst - Intern (Asset Impact) | Paris or Berlin","Paris, Île-de-France, France","Internship","Data analysis","Excel","Finance","Python","R","RDBMS","at least two internship experiences","seniors"
"Roblox","Data Science Intern - Causal Inference with Network Interference (Summer 2023)","San Mateo, CA, United States","Internship","Airflow","Big Data","Causal inference","Computer Science","Economics","Engineering","no experience","seniors"
"Trigo","STAGE - Data Analyst POWER BI - H/F","Nanterre, France","Full Time","Excel","Power BI","Robotics","RPA","SharePoint","","at least one internship experience","seniors"
"Santen","Data Science Intern","Emeryville, CA, United States","Full Time","Data analysis","R","SAS","Statistics","","","at least two internship experiences","juniors"
"Spotify","Summer Internship, Analytics Engineer | Content Business (US)","New York City","Internship","APIs","BigQuery","Computer Science","Engineering","ETL","PhD","no experience","juniors"
"Spotlab","Artificial Intelligence Research Internship","Madrid, Spain","Internship","Caffe","Computer Science","Computer Vision","Deep Learning","Engineering","Keras","no experience","juniors"
"Fetch","Data Analytics Internship","Birmingham, AL","Internship","Data Analytics","Grafana","Python","SQL","Statistics","Tableau","at least one internship experience","seniors"
"Sayari","Data Engineer Intern","United States - Remote","Internship","Airflow","AWS","Azure","Engineering","ETL","GCP","at least two internship experiences","juniors"
"Spot AI","Data Analytics Engineer (Intern)","Hayward, California, United States","Internship","APIs","AWS","BigQuery","Computer Science","Data Analytics","Databricks","at least two internship experiences","seniors"
"Gameloft","Data Analyst Intern - Summer 2023","Toronto, ON, Canada","Internship","Computer Science","Data visualization","Mathematics","SQL","Statistics","","no experience","juniors"
"Spotify","Summer Internship, Product Management | Data Management (US)","New York City","Internship","Agile","Big Data","Computer Science","Data management","Economics","Engineering","no experience","seniors"
"Bosch Group","Intern | Machine Learning (Generative AI)","Singapore, Singapore","Internship","Computer Science","Data analysis","Deep Learning","EDA","Engineering","Feature engineering","at least one internship experience","seniors"
"Gojek","Data Science Intern - Payments","Singapore","Internship","Caffe","Computer Vision","Deep Learning","Engineering","Keras","Machine Learning","no experience","freshman or sophomores"
"Agot AI","Deep Learning Infrastructure Intern (Summer, Full-Time)","Pittsburgh, PA","Internship","AWS","Computer Science","Computer Vision","Deep Learning","DevOps","Docker","no experience","juniors"
"Bosch Group","Embedded Machine Learning Intern for Sensors and Edge Devices","Sunnyvale, CA, United States","Internship","ASIC Design","Classification","Computer Science","Data Mining","Engineering","Linux","at least one internship experience","juniors"
"Bugcrowd","Data Science Intern","United States","Internship","A/B testing","Data analysis","EDA","Engineering","Git","GitHub","no experience","seniors"
"Believe","Data Analyst - Internship (H/F)","Paris, France","Internship","Power BI","","","","","","at least one internship experience","freshman or sophomores"
"Snowflake Inc.","Data Engineer Intern","Dublin, CA, USA","Internship","Computer Science","Data pipelines","Data warehouse","Distributed Systems","Engineering","Excel","at least one internship experience","freshman or sophomores"
"Mendix","Data Quality Management Internship","Rotterdam","Internship","AWS","Computer Science","Data quality","Engineering","Power BI","Privacy","no experience","seniors"
"Smartsheet","Product Design Intern, Data Integrations","-REMOTE, UK-","Internship","Agile","Engineering","Privacy","Prototyping","Research","UX","at least two internship experiences","juniors"
"CleverConnect","Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","at least one internship experience","seniors"
"CleverConnect","Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","at least one internship experience","seniors"
"Bosch Group","Intern, Robot Research Engineer","Singapore, Singapore","Internship","Computer Science","Engineering","Industrial","Machine Learning","Python","Research","no experience","juniors"
"Amazon.com","Amazon Robotics - Applied Scientist Intern/Co-op - 2023","Westborough, Massachusetts, USA","Full Time","Computer Science","Computer Vision","Engineering","Machine Learning","Mathematics","PhD","at least one internship experience","seniors"
"Spotify","Summer Internship, Data Science | Music Mission (US)","New York City","Internship","A/B testing","Airflow","Biology","Computer Science","Data pipelines","Data visualization","no experience","seniors"
"Verisk","Data Science Intern - 2023 Summer Internship Program - CR","Kraków, Poland","Part Time","Bayesian","Business Analytics","Classification","Data analysis","Engineering","Finance","no experience","seniors"
"Relativity","Machine Learning Operations Intern - Summer 2023","Remote United States","Internship","AWS","Azure","Computer Science","Databricks","GCP","Linux","at least two internship experiences","freshman or sophomores"
"HRL Laboratories","Doctorate Intern in Machine Learning and Reasoning","Calabasas, CA","Internship","Deep Learning","Machine intelligence","Machine Learning","Privacy","Python","PyTorch","no experience","freshman or sophomores"
"Dyania Health","NLP Applied Science Internship","Jersey City, New Jersey, United States","Internship","Computer Science","Engineering","HuggingFace","Machine Learning","Mathematics","NLP","at least two internship experiences","seniors"
"CleverConnect","Data Engineer - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","at least one internship experience","juniors"
"Wisk Aero","Autonomy Engineering Summer Intern","Mountain View, CA","Internship","C++","Computer Science","Computer Vision","Engineering","Genetics","Matlab","no experience","juniors"
"METRO/MAKRO","Internship - Data Analytics with SQL","București, Romania","Full Time","Cybernetics","Data Analytics","Engineering","Excel","SQL","Statistics","at least one internship experience","juniors"
"Freenome","Machine Learning Research Engineering Intern (Remote)","South San Francisco, California","Internship","Biology","Computer Science","Engineering","GPU","Machine Learning","Model training","at least two internship experiences","freshman or sophomores"
"Etsy","Data Science Intern","Brooklyn, NY, United States","Full Time","Computer Vision","Data Mining","Deep Learning","Diffusion models","E-commerce","ICLR","at least two internship experiences","seniors"
"Schrödinger","Life Science Data Engineer Intern","New York","Internship","APIs","Architecture","Biology","Chemistry","CI/CD","Computer Science","at least one internship experience","juniors"
"Publicis Groupe","Data Analyst - Internship","Milano, Italy","Full Time","Business Intelligence","Computer Science","Consulting","Mathematics","Statistics","","at least one internship experience","seniors"
"Believe","Junior Data Analyst - Stage (H/F)","Paris, France","Full Time","Business Intelligence","Excel","Power BI","Python","Streaming","Tableau","at least two internship experiences","juniors"
"Vitol","Data Science Intern","London, United Kingdom","Full Time","APIs","Architecture","Data analysis","Power BI","Python","SQL","at least one internship experience","juniors"
"Adarga","Data Science Summer Internship Programme 2023","London, United Kingdom","Internship","Deep Learning","Engineering","Machine Learning","NLP","Privacy","Research","at least two internship experiences","juniors"
"Bosch Group","Intern, AI Engineer for HVAC","Singapore, Singapore","Internship","Computer Science","Engineering","Industrial","NumPy","OpenAI","Pandas","at least one internship experience","juniors"
"Adarga","Data Science Intern 2023","London, United Kingdom","Internship","Deep Learning","Engineering","Machine Learning","NLP","Privacy","Research","at least one internship experience","juniors"
"Deloitte","Data Management Unit Intern","Nakuru, Kenya","Internship","Consulting","Data analysis","Data management","Data quality","Data visualization","Excel","no experience","seniors"
"CloudSEK","Machine Learning Intern","Bengaluru, Karnataka, India","Internship","BERT","Elasticsearch","GPT","Keras","Machine Learning","ML models","at least two internship experiences","juniors"
"Nuro, Inc.","Applied Research, Machine Learning - PhD Summer Intern","Mountain View, California (HQ)","Internship","Autonomous Driving","Computer Science","Deep Learning","Generative modeling","ICLR","ICML","at least one internship experience","seniors"
"Spotify","Summer Internship, Research Scientist, Audio Intelligence | Music Mission (EMEA or US)","Berlin","Internship","Computer Science","Engineering","GitHub","Machine Learning","Mathematics","NumPy","no experience","juniors"
"Bosch Group","Internship: Deep Learning based Lane and Road Edge Detection","Leonberg, Germany","Full Time","Agile","Computer Science","Computer Vision","Deep Learning","Engineering","Python","at least one internship experience","seniors"
