"gender","grad_year","transfer","major","minor","courses","returning_member","prog_lang_exp","python_package","intern_job_count","club_resource"
"Female","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","No","Python, R, SQL","NumPy, SciPy",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Computer Science/Computer Engineering","","CS 165A/165B, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 120A","No","C/C++, Java, JavaScript/TypeScript, Python","NumPy, Pandas, SciPy",4,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","Yes","Statistics & Data Science","","Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","No","C/C++, Java","",0,"Career fair, Company talks & Data talks, Social events, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","CS 9, CS 165A/165B, Calculus (Math 3A, 3B, or AP Calculus)","No","C/C++, Java","",1,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 8/PSTAT 8/CS 40, PSTAT 10","No","C/C++, Python, R, SQL","",0,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","Yes","Java, Python, R, SQL","NumPy, Pandas, PyTorch, Scikit-learn, SciPy, Tensorflow",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Physics","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A","No","C/C++, Python","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","Earth Science","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","No","C/C++, R, SQL","",0,"Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","Yes","C/C++, Java, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas, PyTorch, Scikit-learn, SciPy",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","Yes","Python, R, SQL","NumPy, Pandas, Scikit-learn",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 120A, PSTAT 120B","Yes","Python, R, SQL","NumPy, Pandas, PyTorch",2,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 160A/160B","Yes","Python, R, SQL","",1,"Career fair, Company talks & Data talks, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Mathematics/Applied Mathematics, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","No","Java, JavaScript/TypeScript, Python, R, SQL","NumPy",0,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","No","Python, R, SQL","",0,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, PSTAT 10","No","C/C++, Java","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","No","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","Yes","Python, R","PyTorch",0,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10","No","C/C++, Java, Python, R","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, PSTAT 10","No","C/C++, R","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","Earth Science ","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","Yes","C/C++, Java, Python, R, SQL","NumPy, Pandas",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","No","C/C++, Java, Python, R, SQL","Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10, PSTAT 120A","No","Python, SQL","NumPy, Pandas",2,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups"
"Male","2026","Yes","Statistics & Data Science","Psychology and Brain Sciences ","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, PSTAT 10","No","Python","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A, PSTAT 120B","No","C/C++, Java, Python, R, SQL","NumPy, Pandas",0,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","Yes","Python, R","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus)","No","Python","NumPy, Pandas, Scikit-learn",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","Applied Psychology","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","No","C/C++, Python, R, SQL","NumPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10","No","C/C++, R","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Computer Science/Computer Engineering","","","No","C/C++, Java, JavaScript/TypeScript, Python, SQL","Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40","No","C/C++, Python","NumPy, Pandas, Scikit-learn, SciPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Computer Science/Computer Engineering","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 120A","Yes","C/C++, Java, JavaScript/TypeScript, Python","Pandas, PyTorch, Scikit-learn",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, PSTAT 10","Yes","Python, R, SQL","Pandas",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Financial Math & Statistics","","CS 9, Math 4A, Math 6A, PSTAT 10","No","Java, Python, R, SQL","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","Yes","C/C++, Python, R, SQL","NumPy, Pandas, PyTorch, Tensorflow",0,"Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","Linguistics, Speech and Language Technologies emphasis (intended)","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10","Yes","Python, R, SQL","NumPy, Pandas, Scikit-learn",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10","Yes","C/C++, Java, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, PSTAT 10","Yes","Java, JavaScript/TypeScript, Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","Yes","Python, R, SQL","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A","Yes","C/C++, Java, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas, PyTorch, Tensorflow",0,"Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","Music","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A","Yes","Java, Python","NumPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Mathematics/Applied Mathematics, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B","Yes","C/C++, JavaScript/TypeScript, Python, R","NumPy, Pandas, Tensorflow",1,"Career fair, Company talks & Data talks, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Economics/Economics & Accounting","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A","No","Python, R","NumPy, Pandas",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, PSTAT 10","No","JavaScript/TypeScript, Python, R, SQL","",0,"Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Financial Math & Statistics, Biopsychology","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 120A","No","Java, Python","PyTorch",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","No","Java, Python, R, SQL","Pandas",0,"Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 120A","No","Python","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10","No","Python, R","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus)","No","Python, R","NumPy, Pandas",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10","No","Python, R, SQL","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","Math 8/PSTAT 8/CS 40, PSTAT 120A","Yes","C/C++, Java, JavaScript/TypeScript, Python, R, SQL","Pandas, PyTorch, Scikit-learn, Tensorflow",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10","No","C/C++","",0,"Company talks & Data talks, Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10","No","Python, R, SQL","",0,"Company talks & Data talks, Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","None as of now","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10","No","Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A","No","Python","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science, Geography ","Japanese","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 120A","No","Python, R","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Mathematics/Applied Mathematics","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A","No","C/C++, Java, Python, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","Yes","C/C++, Java, JavaScript/TypeScript, Python, R, SQL","",0,"Career fair, Company talks & Data talks, Project groups"
"Female","2027","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","No","Java, Python, R, SQL","NumPy, Pandas",0,"Career fair, Social events, Project groups"
"Female","2027","No","Financial Math & Statistics","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A","No","R","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10","No","Python, R","",1,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Mathematics/Applied Mathematics, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10","No","Java, Python","NumPy, PyTorch",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10, PSTAT 120A","No","Java, JavaScript/TypeScript, Python, R, SQL","NumPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups"
"Female","2027","No","Statistics & Data Science","","CS 9, Math 4A, Math 6A, PSTAT 10, PSTAT 120A","Yes","Python","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, PSTAT 126","No","JavaScript/TypeScript, Python, R","NumPy, Pandas, Scikit-learn",1,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10, PSTAT 120A","No","Java, Python, R, SQL","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","Yes","Computer Science/Computer Engineering","Statistics","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 120A","No","C/C++, JavaScript/TypeScript, Python","",0,"Career fair, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Computer Science/Computer Engineering","None","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","Yes","C/C++, Python, R, SQL","NumPy, PyTorch, SciPy, Tensorflow",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups"
"Male","2027","No","undeclared but going into physics","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A","No","C/C++, Python","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science, Economics","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A","No","Python","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","No","Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10","No","Python, R","",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Electrical engineering","Statistics and Data Science","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 120A","No","C/C++, JavaScript/TypeScript, Python, SQL","NumPy, Pandas, PyTorch, Scikit-learn, Tensorflow",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A","No","Python, R","Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","No","Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","Yes","C/C++, Java, Python, R, SQL","NumPy, Pandas, PyTorch, Scikit-learn, SciPy, Tensorflow",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2027","No","Computer Science/Computer Engineering, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A","No","JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas, PyTorch, Scikit-learn, SciPy, Tensorflow",2,"Career fair, Company talks & Data talks, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2027","Yes","Mathematics/Applied Mathematics","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 120A","No","C/C++","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
